no_of_locations,no_of_conditions,enrollment,no_of_arms,adverseEventDataAvailable,min_age,max_age,total_dropout_rate,no_of_primary_outcomes,no_of_secondary_outcomes,has_result,phase_MISSING,phase_PHASE1,phase_PHASE2,phase_PHASE3,phase_PHASE4,sponsor_FED,sponsor_INDIV,sponsor_INDUSTRY,sponsor_NIH,sponsor_OTHER,sponsor_OTHER_GOV,allocation_encoded,intervention_model_CROSSOVER,intervention_model_FACTORIAL,intervention_model_PARALLEL,intervention_model_SEQUENTIAL,intervention_model_SINGLE_GROUP,masking_DOUBLE,masking_NONE,masking_QUADRUPLE,masking_TRIPLE,male,female,trail_length,no_of_interventions,no_of_types_of_interventions
1,1,74,4,1,21,65,3,3,8,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1708,4,1
2,1,39,4,1,18,70,0,2,9,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,554,4,1
15,1,361,2,1,20,69,3,1,5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,904,4,1
32,1,814,2,1,18,80,19,1,15,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1150,2,1
6,1,153,1,1,20,69,7,1,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1506,1,1
57,1,567,2,1,18,75,0,1,8,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1584,2,1
1,1,10,6,1,18,60,0,3,4,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,2234,4,2
5,1,61,4,1,20,120,15,6,9,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,528,6,1
7,1,46,5,1,10,65,2,3,8,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1999,1,1
21,1,94,2,1,18,90,5,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1760,2,2
3,1,50,2,1,18,65,0,8,7,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,2570,2,1
43,1,205,4,1,18,75,0,1,8,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,665,2,1
32,1,187,1,1,18,69,18,1,11,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,830,2,1
1,1,531,2,1,18,69,9,2,9,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1643,3,1
60,1,247,6,1,18,70,15,1,13,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,946,2,1
1,1,14,4,1,18,65,0,1,4,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,539,2,1
9,1,196,1,1,18,69,12,5,4,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1558,1,1
83,1,412,6,1,18,75,0,1,22,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1087,2,1
1,1,120,2,1,20,80,12,3,24,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,738,2,1
3,1,51,5,1,18,99,4,2,8,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2331,3,1
1,1,36,3,1,18,65,0,1,5,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,543,3,1
